violation_id,timestamp,location,violation_type,vehicle_type,severity
V00000,2025-10-04 02:50:39.646293,"51.5074,-0.1278",Illegal Turn,Truck,1
V00001,2025-10-05 18:56:39.646293,INT002,Unknown,Truck,5
V00002,2025-09-23 06:14:39.646293,INT002,Red Light,Bus,4
V00003,2025-08-14 19:58:39.646293,"48.8566,2.3522",Speeding,,4
V00004,2025-07-31 07:45:39.646293,"51.5074,-0.1278",Red Light,Bus,3
V00005,2025-08-28 01:54:39.646293,INT005,Unknown,Truck,5
V00006,2025-10-26 18:31:39.646293,INT001,Illegal Parking,,4
V00007,2025-09-22 13:05:39.646293,INT004,Red Light,,4
V00008,2025-10-19 20:41:39.646293,INT002,Red Light,Truck,1
V00009,2025-09-02 17:22:39.646293,"34.0522,-118.2437",Illegal Parking,Truck,3
V00010,2025-10-08 02:35:39.646293,INT001,Illegal Turn,,4
V00011,2025-09-29 03:50:39.646293,INT004,Illegal Turn,Motorcycle,4
V00012,2025-09-02 04:24:39.646293,"40.7128,-74.0060",Unknown,Bus,3
V00013,2025-08-25 20:45:39.646293,INT002,Illegal Parking,Truck,4
V00014,2025-09-22 17:58:39.646293,INT005,Red Light,,3
V00015,malformed,"40.7128,-74.0060",Illegal Turn,Bus,1
V00016,2025-08-08 05:51:39.646293,INT002,Unknown,Truck,4
V00017,2025-10-14 20:54:39.646293,"51.5074,-0.1278",Unknown,Motorcycle,2
V00018,2025-08-12 15:55:39.646293,INT002,Red Light,Motorcycle,5
V00019,2025-10-22 12:04:39.646293,INT003,Unknown,,5
V00020,2025-10-17 20:42:39.646293,INT002,Illegal Turn,Motorcycle,1
V00021,2025-09-26 10:59:39.646293,INT004,Red Light,,4
V00022,2025-08-05 20:49:39.646293,"34.0522,-118.2437",Speeding,Truck,2
V00023,2025-10-24 07:54:39.646293,"48.8566,2.3522",Unknown,Car,2
V00024,2025-08-03 16:03:39.646293,INT004,Illegal Parking,Truck,2
V00025,2025-10-22 08:49:39.646293,"40.7128,-74.0060",Illegal Turn,Truck,4
V00026,2025-09-18 21:08:39.646293,"48.8566,2.3522",Red Light,Truck,2
V00027,2025-07-29 05:01:39.646293,INT002,Unknown,,2
V00028,2025-08-20 11:36:39.646293,"40.7128,-74.0060",Illegal Parking,Bus,1
V00029,2025-08-22 15:14:39.646293,"51.5074,-0.1278",Red Light,Motorcycle,3
V00030,2025-09-15 18:41:39.646293,INT003,Illegal Parking,Car,4
V00031,2025-09-01 15:08:39.646293,INT005,Speeding,Motorcycle,2
V00032,2025-10-17 09:21:39.646293,"40.7128,-74.0060",Speeding,Car,5
V00033,2025-08-20 21:52:39.646293,"51.5074,-0.1278",Red Light,Car,2
V00034,2025-08-13 05:08:39.646293,"48.8566,2.3522",Illegal Turn,Bus,5
V00035,2025-09-22 02:45:39.646293,INT002,Unknown,Motorcycle,1
V00036,2025-08-23 19:33:39.646293,"51.5074,-0.1278",Illegal Turn,Bus,3
V00037,2025-07-29 11:48:39.646293,"48.8566,2.3522",Speeding,Truck,4
V00038,2025-08-25 04:22:39.646293,"40.7128,-74.0060",Speeding,Motorcycle,5
V00039,2025-07-30 21:29:39.646293,"34.0522,-118.2437",Illegal Turn,Motorcycle,2
V00040,2025-09-29 19:43:39.646293,"48.8566,2.3522",Illegal Parking,Motorcycle,5
V00041,2025-09-19 13:44:39.646293,"40.7128,-74.0060",Unknown,Truck,5
V00042,2025-10-18 16:54:39.646293,"34.0522,-118.2437",Illegal Turn,Car,3
V00043,2025-08-27 13:08:39.646293,"40.7128,-74.0060",Speeding,Motorcycle,5
V00044,2025-09-17 13:19:39.646293,"40.7128,-74.0060",Speeding,Car,5
V00045,2025-10-04 13:47:39.646293,"34.0522,-118.2437",Illegal Turn,Car,2
V00046,2025-08-30 23:01:39.646293,"51.5074,-0.1278",Illegal Turn,Truck,2
V00047,2025-08-10 04:45:39.646293,"34.0522,-118.2437",Red Light,Car,5
V00048,malformed,INT005,Illegal Turn,Motorcycle,3
V00049,2025-08-27 19:00:39.646293,INT002,Red Light,Truck,3
V00050,2025-10-23 08:27:39.646293,"48.8566,2.3522",Illegal Parking,Truck,5
V00051,2025-08-13 09:19:39.646293,"48.8566,2.3522",Red Light,Bus,4
V00052,2025-08-22 21:09:39.646293,"48.8566,2.3522",Illegal Turn,Car,3
V00053,2025-09-14 17:59:39.646293,INT002,Illegal Parking,Car,1
V00054,2025-08-11 18:15:39.646293,"51.5074,-0.1278",Illegal Turn,Bus,4
V00055,2025-09-22 07:57:39.646293,"48.8566,2.3522",Unknown,Motorcycle,1
V00056,2025-08-27 20:54:39.646293,INT005,Speeding,Motorcycle,2
V00057,2025-09-06 02:00:39.646293,"48.8566,2.3522",Speeding,Truck,1
V00058,2025-09-28 12:26:39.646293,INT001,Illegal Parking,,3
V00059,2025-10-24 10:49:39.646293,INT005,Illegal Turn,Bus,4
V00060,2025-10-20 08:01:39.646293,"51.5074,-0.1278",Illegal Parking,Motorcycle,5
V00061,2025-08-06 04:44:39.646293,INT004,Illegal Parking,Car,2
V00062,2025-08-29 19:19:39.646293,INT001,Illegal Parking,Bus,4
V00063,2025-09-07 22:23:39.646293,INT001,Speeding,Bus,3
V00064,2025-09-06 11:02:39.646293,"34.0522,-118.2437",Illegal Turn,,1
V00065,malformed,INT005,Illegal Parking,,5
V00066,2025-09-27 18:26:39.646293,INT003,Illegal Turn,Bus,5
V00067,2025-09-15 09:44:39.646293,INT005,Speeding,Car,1
